seed,rnn_type,hidden_size,num_layers,bidirectional,R2,MAE,MSE,RMSE,MAPE
2023,rnn,16,1,True,0.048318333645011,78.99678868385956,12068.539840938189,109.85690620501828,135.3489351500999
2023,rnn,16,1,False,-0.0315459998809424,76.92863500628343,13081.321661901016,114.3736056172971,107.70510092401386
2023,rnn,16,2,True,0.0507812069730976,78.91556439346822,12037.307459424484,109.714663830431,135.490634640297
2023,rnn,16,2,False,-0.0317247285675803,76.9255863437562,13083.588170074563,114.3835135413953,107.650311961163
2023,rnn,32,1,True,0.0573125532841132,79.3529164103434,11954.481640712058,109.33655217132127,138.4483595334567
2023,rnn,32,1,False,0.0485446336302389,78.94068198347621,12065.67006789928,109.84384401457952,135.411007861578
2023,rnn,32,2,True,0.0648112820977894,78.8151195922102,11859.388175487642,108.90081806620024,138.87850584179247
2023,rnn,32,2,False,-0.0033452207527968,81.90520274166826,12723.699740111708,112.79937827892364,136.22299351322022
2023,rnn,64,1,True,0.0574218956283131,79.43327842726005,11953.09504004092,109.33021101251438,138.89904219621184
2023,rnn,64,1,False,0.0568439825908594,79.36023387364843,11960.42371596658,109.36372212011888,138.77091986005382
2023,rnn,64,2,True,0.0691251458156037,78.64316653449637,11804.682870145132,108.64935743088928,138.65929817810044
2023,rnn,64,2,False,0.0643403061108813,78.85921899943646,11865.36075293982,108.92823671087228,138.9603348684075
2023,rnn,128,1,True,0.0731219104433325,78.89605349028356,11753.998786538328,108.41586040122694,140.8068223059837
2023,rnn,128,1,False,0.0620372258814746,78.93989453225052,11894.566753736211,109.06221505973647,140.05573322141842
2023,rnn,128,2,True,0.0682372105189458,78.68423073189761,11815.943024546272,108.70116386012742,138.55094468909215
2023,rnn,128,2,False,0.0432823823260593,80.15655570400499,12132.402139938413,110.1471839855128,140.05923194540253
2023,lstm,16,1,True,0.0221628976230257,80.09368812149943,12400.224198058811,111.35629393105184,133.61201254956086
2023,lstm,16,1,False,-0.0312513085109311,76.93367228379529,13077.584598694384,114.35726736283264,107.79576529895468
2023,lstm,16,2,True,-0.0025339111256219,81.6504265714183,12713.41129713224,112.75376400427722,135.24236823124255
2023,lstm,16,2,False,-0.0308307320864857,76.94106191462836,13072.251152108174,114.33394575587852,107.92605255553632
2023,lstm,32,1,True,0.0770986223907848,77.98171748449988,11703.568996546072,108.18303469835772,137.55785654900436
2023,lstm,32,1,False,0.0593905473351286,78.3318124709152,11928.130020332565,109.21597877752396,134.83030193249758
2023,lstm,32,2,True,0.0749252501317954,78.42259304043608,11731.13013450228,108.31034177077588,138.41720333337835
2023,lstm,32,2,False,0.0615132545764758,78.3919159107843,11901.211379553271,109.09267335414086,135.54608275705814
2023,lstm,64,1,True,0.0709352816743448,78.62744927292958,11781.728033984004,108.54366878811496,138.8023222010085
2023,lstm,64,1,False,0.0799935274112556,77.79959500232702,11666.85790100811,108.01323021282212,136.92621159816687
2023,lstm,64,2,True,0.0631160666601056,79.07822734618149,11880.885673833933,108.99947556678396,139.0398242813215
2023,lstm,64,2,False,0.0703672983415485,78.7027696384303,11788.930788563794,108.57684278226088,138.86873019862657
2023,lstm,128,1,True,0.0714464641649303,78.33634348414401,11775.245586678646,108.51380366883582,137.0021432095776
2023,lstm,128,1,False,0.0665794776128625,78.80939349432944,11836.965196486732,108.79781797667972,138.1061437884308
2023,lstm,128,2,True,0.0769756391521332,78.436966759656,11705.128581192816,108.1902425415195,139.35568669012503
2023,lstm,128,2,False,0.0728079180100294,78.5247744916925,11757.980611895526,108.43422251252382,138.45362301529957
2023,gru,16,1,True,0.05887480776719,78.44746382602987,11934.670257203004,109.24591643262004,135.52742373972404
2023,gru,16,1,False,-0.0324557718222469,76.91319012981965,13092.858732864936,114.42403039949669,107.4277805397889
2023,gru,16,2,True,0.0520195342684498,78.7908913752923,12021.603886655956,109.6430749598713,135.75615650625258
2023,gru,16,2,False,-0.0310189281298496,76.93767610933814,13074.63771846491,114.3443821027728,107.86758383372197
2023,gru,32,1,True,0.0787190412865478,77.96620053685788,11683.02001394622,108.08801975217337,137.8882081699417
2023,gru,32,1,False,0.0570709237834365,78.4373282936598,11957.54581159898,109.3505638375906,135.0681452709641
2023,gru,32,2,True,0.0776854572147727,78.03891203104978,11696.127180964531,108.14863466990478,137.1179462895195
2023,gru,32,2,False,0.0468169263425465,78.02610691262501,12087.579604430392,109.94352916124892,130.68826535748042
2023,gru,64,1,True,0.0802760837789439,77.96477341840837,11663.274725140263,107.9966421938213,137.52903649399707
2023,gru,64,1,False,0.0780044934335941,78.1494531695703,11692.081393960672,108.12992829906378,138.17747043101835
2023,gru,64,2,True,0.0780508870394387,78.13654912897222,11691.493063744494,108.12720778668287,137.55410181772945
2023,gru,64,2,False,0.0776223500415209,77.98450068550896,11696.927460576466,108.1523345128364,136.75510722074412
2023,gru,128,1,True,0.0788598567005434,77.99049783999871,11681.234294525428,108.07975894923815,137.1923528390543
2023,gru,128,1,False,0.079973679501307,78.1815776280858,11667.10959787319,108.0143953270729,138.01807416192307
2023,gru,128,2,True,0.064395226979118,78.93783669501968,11864.664286138111,108.92503975734006,138.5497332906236
2023,gru,128,2,False,0.07199086714148872,78.37663630562615,11768.341861153192,108.48198864859177,136.452510014886
